,UKPRN,HE provider,2015,2016,2017,2018,2019,2020,2021,HE provider,City ,,Place Name ,Latitude,Longitude ,Place_Name 
4,10000291,Anglia Ruskin University,19830,20935,22245,23485,24490,26715,32180,Anglia Ruskin University,,,Norwich,52.6281,1.2993,Norwich
11,10005343,Queen's University Belfast,23855,23870,23850,24490,24695,24915,25365,Queen's University Belfast,,,Belfast,54.5973,-5.9301,Belfast
14,10007140,Birmingham City University,23335,24065,24130,24575,25855,26930,28995,Birmingham City University,,,Birmingham,52.4829,-1.8935,Birmingham
15,10006840,The University of Birmingham,34160,33830,34835,34915,35445,35760,37750,The University of Birmingham,,,Birmingham,52.4829,-1.8935,Birmingham
25,10007786,The University of Bristol,21555,21905,23590,24850,25955,27375,29785,The University of Bristol,,,Bristol,51.454514,-2.58791,Bristol
29,10007788,The University of Cambridge,19515,19660,19955,20510,20890,21340,22155,The University of Cambridge,,,Cambridge,52.2050,0.1190,Cambridge
32,10007814,Cardiff University,30480,30675,31595,31935,33190,33260,33510,Cardiff University,,,Cardiff,51.4813,-3.1805,Cardiff
34,10007141,The University of Central Lancashire,25655,24460,24160,23000,23160,24715,27945,The University of Central Lancashire,,,Preston,53.7590,-2.6990,Preston
40,10001478,"City, University of London",18280,18995,19405,19780,20210,19975,21325,"City, University of London",,,London,51.5002,-0.1262,London
43,10001726,Coventry University,27600,29430,31690,34125,34970,38430,39145,Coventry University,,,Coventry,52.4081,-1.5106,Coventry
47,10001883,De Montfort University,19650,20905,23205,25695,25810,29000,27535,De Montfort University,,,Leicester,52.6333,-1.1333,Leicester
48,10007851,University of Derby,15935,16300,17585,18490,19145,19685,21285,University of Derby,,,Derby,52.9219,-1.4758,Derby
50,10007143,University of Durham,17595,17810,18385,18330,19025,19520,20645,University of Durham,,,Durham,54.7761,-1.5733,Durham
55,10007790,The University of Edinburgh,28880,30355,31910,32885,34275,35375,37830,The University of Edinburgh,,,Edinburgh,55.9502,-3.1876,Edinburgh
58,10007792,The University of Exeter,20555,21670,23175,24045,25010,26935,30250,The University of Exeter,,,Exeter,50.7218,-3.5336,Exeter
67,10007794,The University of Glasgow,26815,27220,28615,29725,30805,32465,37145,The University of Glasgow,,,Glasgow,55.8580,-4.2590,Glasgow
71,10007146,The University of Greenwich,21295,20645,19915,18675,18655,19825,22760,The University of Greenwich,,,London,51.5002,-0.1262,London
75,10007147,University of Hertfordshire,24880,24655,24580,24400,24280,25520,30100,University of Hertfordshire,,,Hatfield,51.7620,-0.2280,Hatfield
76,10007148,The University of Huddersfield,19620,19270,18280,18245,17295,17305,20610,The University of Huddersfield,,,Huddersfield,53.6452,-1.7849,Huddersfield
79,10003270,"Imperial College of Science, Technology and Medicine",16610,17035,17690,18375,19115,19400,21370,"Imperial College of Science, Technology and Medicine",,,London,51.5002,-0.1262,London
84,10003645,King's College London,28720,28900,30565,32270,32895,33110,38445,King's College London,,,London,51.5002,-0.1262,London
88,10003861,Leeds Beckett University,26025,25920,24885,23570,23275,23290,23690,Leeds Beckett University,,,Leeds,53.7997,-1.5492,Leeds
89,10007795,The University of Leeds,31030,31790,33300,34420,36250,36330,36840,The University of Leeds,,,Leeds,53.7997,-1.5492,Leeds
94,10003957,Liverpool John Moores University,20635,21875,22445,23230,24030,25050,27200,Liverpool John Moores University,,,Liverpool,53.4000,-3.0000,Liverpool
96,10006842,The University of Liverpool,22715,24775,27070,28795,29695,29600,29185,The University of Liverpool,,,Liverpool,53.4000,-3.0000,Liverpool
97,10007162,"University of the Arts, London",17775,18205,18290,18970,19095,19965,21105,"University of the Arts, London",,,London,51.5002,-0.1262,London
113,10004180,The Manchester Metropolitan University,31355,32485,33010,33080,33050,33420,35940,The Manchester Metropolitan University,,,Manchester,53.4807,-2.2344,Manchester
114,10007798,The University of Manchester,38590,39700,40490,40140,40250,40485,44635,The University of Manchester,,,Manchester,53.4807,-2.2344,Manchester
123,10007799,Newcastle University,23110,23795,24980,26470,27215,28070,27775,Newcastle University,,,Newcastle upon Tyne,54.9667,-1.6000,Newcastle upon Tyne
128,10001282,University of Northumbria at Newcastle,27075,27165,26675,26645,26450,28325,31860,University of Northumbria at Newcastle,,,Newcastle upon Tyne,54.9667,-1.6000,Newcastle upon Tyne
130,10007154,University of Nottingham,31910,32125,32515,33100,33540,34840,35785,University of Nottingham,,,Nottingham,52.9500,-1.1333,Nottingham
131,10004797,The Nottingham Trent University,26890,27920,29370,30890,33255,35785,38995,The Nottingham Trent University,,,Nottingham,52.9500,-1.1333,Nottingham
134,10007774,The University of Oxford,26005,24860,24650,24915,25390,25910,27150,Oxford,,,Oxford,51.7519,-1.2578,Oxford
139,10007155,The University of Portsmouth,21625,22060,23505,24395,25515,26775,28280,The University of Portsmouth,,,Portsmouth,50.8167,-1.0833,Portsmouth
141,10007775,Queen Mary University of London,15960,17140,18890,20070,20560,21665,23870,Queen Mary University of London,,,London,51.5002,-0.1262,London
165,10007156,The University of Salford,18920,20520,19995,20290,20815,21500,23955,The University of Salford,,,Manchester,53.4807,-2.2344,Manchester
169,10005790,Sheffield Hallam University,31530,31485,30815,30730,30715,30960,33270,Sheffield Hallam University,,,Sheffield,53.3836,-1.4669,Sheffield
170,10007157,The University of Sheffield,27195,27925,28715,29675,30195,30055,30605,The University of Sheffield,,,Sheffield,53.3836,-1.4669,Sheffield
172,10007158,The University of Southampton,23795,24875,25180,24625,22715,22665,21395,The University of Southampton,,,Southampton,50.9000,-1.4000,Southampton
177,10007805,The University of Strathclyde,21210,21470,22955,22295,22640,24330,24450,The University of Strathclyde,,,Glasgow,55.8580,-4.2590,Glasgow
182,10007855,Swansea University,16020,17445,19160,20415,20620,20375,21465,Swansea University,,,Swansea,51.6167,-3.9500,Swansea
183,10007161,Teesside University,17920,18575,18555,18375,18665,19290,21275,Teesside University,,,Teesside,54.5889,-1.1875,Teesside
187,10007807,Ulster University,26085,25155,24640,23715,24530,27680,33045,Ulster University,,,Belfast,54.5973,-5.9301,Belfast
189,10007784,University College London,29945,37135,37905,40015,41180,41095,45715,University College London,,,London,51.5002,-0.1262,London
190,10007793,University of South Wales,27710,25265,23465,22860,22330,23090,23150,University of South Wales,,,Cardiff,51.4813,-3.1805,Cardiff
191,10007163,The University of Warwick,23685,24665,25045,25705,26080,26825,28110,The University of Warwick,,,Coventry,52.4081,-1.5106,Coventry
192,10007164,"University of the West of England, Bristol",26670,27715,27880,28790,29555,30680,34410,"University of the West of England, Bristol",,,Bristol,51.454514,-2.58791,Bristol
